,,,,,,,,,,,,
,,,,,,,,,,,,
,오픈소스포털 기능명세서,,,,,,,,,,,
,,,,,,,,,,,,
,기능 ID,대분류,소분류,기능명,사용자 유형,기능 상세(설명),입력,출력,예외/에러,우선순위,상태,비고
,SGI-001,로그인,이메일,이메일 로그인,게스트,"- 이메일로 로그인함.
- 가입 시 작성한 우리 대학 이메일로만 로그인 가능.","- 사용자 이메일
- 사용자 비밀번호",- 세션 발급 후 페이지 이동,"- 이메일 또는 비밀번호가 올바르지 않으면 오류 처리
- 이메일은 존재하지만 비밀번호가 잘못된 경우에도 이메일, 비밀번호 모두 오류 처리
- 계정을 찾을 수 없는 경우 회원가입 유도",,,
,SGI-002,로그인,깃허브,소셜 로그인,게스트,"- 가입 시 연동한 깃허브 계정으로만 로그인 가능.
- 깃허브 계정과 연동된 계정이 있으면 로그인 처리.",- 깃허브 로그인 버튼 클릭,- 세션 발급 후 페이지 이동,"- 깃허브 계정이 연결된 계정이 없다면 회원가입 유도
- 잘못된 결과를 클라이언트에서 전달 시 서버 오류 처리",,,
,SGU-001,회원가입,재학생 인증,아우누리 이메일 인증,게스트,"- 우리 대학 주소로 이루어진 이메일을 입력받아 재학생 인증.
- 인증 코드를 발송하거나 인증 링크를 메일로 발송.","- 이메일 입력 또는 아우누리 아이디 입력
- 인증코드 입력 또는 인증링크 접속",- 회원가입 다음 단계로 이동,"- 잘못된 인증번호 입력 또는 잘못된 인증 값 전달 시 오류 처리.
- 60초 이내 이메일 재발송 요청 시 거부.
- 3분 이내 미입력 시 인증코드 만료.",,,
,SGU-002,회원가입,계정정보,회원가입 처리,게스트,"- 모든 계정정보 입력 후 사용자 회원등록 처리
- 사용자가 입력한 정보 필드(비밀번호, 이름 등)의 조건을 검사함.","- 비밀번호, 이름",- 사용자 세션 정보,"- 각 필드의 조건을 미충족 시 오류 반환.
- 잘못된 접근 시 오류 반환.",,,
,USR-001,회원정보,비밀번호,비밀번호 변경,"학생, 교직원, 관리자","- 입력한 이메일이 존재할 시 비밀번호 초기화 링크를 전송함.
- 존재하지 않은 이메일을 입력 시 이메일 미전송.
- 사용자에게는 항상 처리가 완료됬다는 문구만 표시.",- 이메일,- 비밀번호 초기화 링크,"- 잘못된 링크로 접속 시 오류 반환.
- 2시간 동안 링크 미접속 시 링크 차단.
- 새로운 비밀번호 입력 시 조건 검사.",,,
,USR-002,회원정보,탈퇴,회원 탈퇴,"학생, 교직원, 관리자","- 계정을 일정 기간 비활성화 후 삭제함.
- 계정 탈퇴 시 이메일로 인증코드 전송.
- 사용자의 데이터 중 다른 데이터와 연관되어 삭제가 불가능할 경우 고지 후 보존.",- 인증코드,- 계정 비활성화 안내 메일,"- 잘못된 인증코드 입력시 탈퇴 거부.
- 정해진 최대 횟수를 초과한 인증코드 재발송 요청시 24시간 해당 이메일 발신 차단.
- 인증코드를 3분 이내 미입력 시 만료.
- 60초 이내 재발송 요청 시 거부.",,,
,USR-003,회원정보,활동,깃허브 활동 내역 조회,"학생, 교직원, 관리자","- 깃허브 커밋, 푸시, 풀리퀘스트 등 수집 가능한 정보 조회",-,- 깃허브 활동 내역,"- 깃허브 계정 정보 오류 시 서버 오류 처리.
- 활동 내역 중 서버에서 예상하지 못한 오류 발생 시 서버 오류 처리.",,,
,USR-004,회원정보,활동,작성한 글 조회,"학생, 교직원, 관리자",- 작성한 글 조회.,-,- 작성한 글,- 작성한 글이 없을 시 빈 배열 전송.,,,
,USR-005,회원정보,활동,작성한 댓글 조회,"학생, 교직원, 관리자",- 작성한 댓글 조회.,-,- 작성한 댓글,"- 작성한 댓글이 없을 시 빈 배열 전송.
- 원본 게시글이 삭제된 경우 '삭제된 게시글;로 제목 반환.",,,
,USR-006,회원정보,활동,즐겨찾기 조회,"학생, 교직원, 관리자","- 팀 모집 게시글, 커뮤니티 게시글 즐겨찾기 조회.",-,- 즐겨찾기한 게시글,"- 즐겨찾기한 게시글이 없을 시 빈 배열 전송.
- 원본 게시글이 삭제된 경우 '삭제된 게시굴'로 제목 반환.",,,
,CLG-001,챌린지,도전과제,깃허브 활동내역 조회,"학생, 교직원, 관리자",- 깃허브 활동 내역을 조건에 따라 평가하여 수치로 보여줌.,- 깃허브 활동 내역,- 조건에 따른 도전과제 달성률,- 연결된 깃허브 정보가 없거나 조건이 충돌할 경우 서버 오류 반환.,,,
,TAK-001,커뮤니티,게시글,게시글 작성,"학생, 교직원, 관리자",- 카테고리별 게시글을 작성할 수 있음.,- HTML 게시글 값,- 작성된 게시글,"- 게시글 작성 권한이 없을 경우 권한 부족 처리.
- HTML 값에 게시글 작성 이외 스크립트 자동 필터링.",,,
,TAK-002,커뮤니티,게시글,댓글,"학생, 교직원, 관리자",- 게시글에 댓글을 작성할 수 있음.,"- 게시글 정보, 댓글 내용",- ,- 게시글이 존재하지 않을 경우 권한 부족 처리.,,,
,TAK-003,커뮤니티,게시글,즐겨찾기,"학생, 교직원, 관리자",- 게시글을 즐겨찾기에 저장할 수 있음.,- 게시글 정보,- ,- 게시글이 존재하지 않을 경우 권한 부족 처리.,,,
,TAK-004,커뮤니티,게시글,신고,"학생, 교직원, 관리자",- 게시글을 신고할 수 있음.,- 게시글 정보,- ,"- 조건식에 의하여 일정 시간동아 신고를 받았을 경우, 게시글 비공개 처리 후 관리자 검토 후 재개시.
- LLM을 이용하여 게시글 분석 후 게시글 비공개 여부 결정.",,,
,TAK-005,커뮤니티,게시글,좋아요,"학생, 교직원, 관리자",- 게시글을 추천할 수 있음.,- 게시글 정보,- ,- 게시글이 존재하지 않을 경우 권한 부족 처리.,,,
,TAK-006,커뮤니티,게시글,게시글 조회,"학생, 교직원, 관리자",- 게시글을 조회할 수 있음.,- 게시글 정보,- 게시글 내용,"- 게시글이 존재하지 않을 경우 권한 부족 처리.
- 게시글 접근 중 오류 발생(내부) 시 서버 오류 처리.",,,
,TBD-001,팀게시판,모집공고,공고 조회,"학생, 교직원, 관리자",- 모집 공고를 조회할 수 있음.,- 공고 정보,- 공고 내용,"- 공고 조회가 불가능 할 경우 권한 부족 처리.
- 오류 발생 시 서버 내부 오류 반환.",,,
,TBD-002,팀게시판,모집공고,공고 작성,"학생, 교직원, 관리자",- 모집 공고를 작성할 수 있음.,- 공고 내용,- ,"- 공고 작성 권한 부족 시 권한 부족 처리.
- 작성 내용 저장 중 오류 발생 시 서버 오류 반환.
- 내용 작성 조건 미충족 시 게시글 미등록.",,,
,TBD-003,팀게시판,모집공고,팀 별 모집공고 조회,"학생, 교직원, 관리자",- 각 팀 상세페이지에 접속하여 공고를 확인할 수 있음.,- 팀 정보,"- 팀 소개 내용, 공고 내용",- 조회가 불가능한 경우 권한 부족 처리.,,,
,TBD-004,팀게시판,모집공고,공고 게시글 조회,"학생, 교직원, 관리자",- 공고 상세페이지에 접근하여 상세한 내용을 확인할 수 있음.,- 공고 정보,- 공고 상세 내용,- 조회가 불가능한 경우 권한 부족 처리.,,,
,TBD-005,팀게시판,모집공고,공고 게시글 댓글 작성,"학생, 교직원, 관리자",- 공고 상세페이지에 댓글을 작성할 수 있음.,- 공고 정보,,- 작성이 불가능 한 경우 권한 부족 처리.,,,
,TBD-006,팀게시판,모집공고,공고 지원,"학생, 교직원, 관리자",- 공고 상세페이지에서 지원할 수 있음.,- 공고 정보,- 지원 처리 결과,- 지원 처리 불가 시 사유 반환.,,,
,ADM-001,관리자,사용자,사용자 정보 변경,관리자,"- 사용자의 정보(이름, Github 연동정보, 이메일 등)를 수정할 수 있음.",- 사용자 정보,,"- 오류 발생 시 서버 내부 오류 반환.
- 관리자 페이지에서 발생하는 오류는 서버 오류로 처리.
- 작성한 내용이 조건식에 부합하지 않는 경우 미반영.",,,
,ADM-002,관리자,사용자,사용자 삭제,관리자,- 사용자를 삭제할 수 있음.,- 사용자 정보,,- 사용자의 데이터가 영속성이여서 처리 불가 시 오류 반환.,,,
,ADM-003,관리자,챌린지,챌린지 추가,관리자,- 챌린지(도전과제)를 추가할 수 있음.,- 챌린지 조건 및 정보,,- 작성한 챌린지 내부 테스트 중 오류 발생시 서버에만 저장 후 사용자에게 미노출.,,,
,ADM-004,관리자,챌린지,챌린지 삭제,관리자,- 챌린지(도전과제)를 삭제할 수 있음.,- 챌린지 정보,,- 어떠한 이유로 삭제 불가능 할 시 서버 오류 처리.,,,
,ADM-005,관리자,챌린지,챌린지 수정,관리자,- 챌린지((도전과제)를 수정할 수 있음.,- 챌린지 조건 및 정보,,- 챌린지 조건 수정이 불가능 할 경우 삭제 후 재생성 권유.,,,
,ADM-006,관리자,게시글,게시글 삭제,관리자,- 작성된 게시글을 삭제할 수 있음. (공고 포함),- 게시글 정보,,- 게시글 삭제가 불가능 할 경우 블라인드 처리 권유.,,,
,ADM-007,관리자,게시글,공지 작성,관리자,"- 홈페이지 공지사항을 작성할 수 있음.
- 최대 n개의 공지를 작성할 수 있으며, 홈 화면은 공지가 슬라이드 되며 보여짐.
- 게시판은 최대 n`개의 공지를 작성할 수 있으며, 쌓여져서 보여짐.
- 게시를 원하는 페이지 지정 가능","- 공지 내용, 범위","- 조건에 따라 Header 위, 게시판 상단 노출",- 내부 시스템 조건에 미충족 시 사유 반환.,,,
,ADM-008,관리자,게시글,공지 삭제,관리자,- 홈페이지 공지사항을 삭제할 수 있음.,- 공지 정보,,- 서버 내부 오류 발생 시 로그 기록.,,,
